Experiment_identifier_1,Experiment_identifier_2,TargetOchConc,Control_Type,Time_0,Time_1,Time_2,Time_3,Prey_0,Prey_1,Prey_2,Prey_3,Pred_0,Pred_1,Pred_2,Pred_3
1393,C,100000,Predator_Free,0,1,2,3,48406,26889,26888,29280,0,0,0,0
1393,C,125000,Predator_Free,0,1,2,3,69017,50301,30647,58789,0,0,0,0
1393,C,0,Prey_Free,0,1,2,3,1732,1995,1596,7693,950,800,1200,880
1393,C,25000,Treatment,0,1,2,3,9172,3362,6610,8660,600,680,1130,1060
1393,C,50000,Treatment,0,1,2,3,11672,3761,2735,9579,620,970,1020,930
1393,C,75000,Treatment,0,1,2,3,29957,24898,15840,27863,670,940,1110,1010
1393,C,100000,Treatment,0,1,2,3,66049,17718,11337,15325,640,970,1450,1250
1393,C,125000,Treatment,0,1,2,3,62467,23531,15555,21540,760,1090,1300,1560
2951,A,0,Predator_Free,0,1,2,3,912,2051,1139,2279,0,0,0,0
2951,A,25000,Predator_Free,0,1,2,3,9401,10938,22047,15552,0,0,0,0
2951,A,50000,Predator_Free,0,1,2,3,51902,53038,62099,58738,0,0,0,0
2951,A,75000,Predator_Free,0,1,2,3,51347,56355,27406,20054,0,0,0,0
2951,A,100000,Predator_Free,0,1,2,3,109626,88816,105344,130630,0,0,0,0
2951,A,125000,Predator_Free,0,1,2,3,114067,82035,73033,,0,0,0,0
2951,A,0,Prey_Free,0,1,2,3,4332,2109,7352,14876,470,910,510,480
2951,A,25000,Treatment,0,1,2,3,15100,9807,23305,43244,490,1070,250,490
2951,A,50000,Treatment,0,1,2,3,70653,31680,28599,66659,710,1440,760,790
2951,A,75000,Treatment,0,1,2,3,53064,22686,32542,23366,600,1310,710,830
2951,A,100000,Treatment,0,1,2,3,127119,81241,63982,102048,550,1180,790,1540
2951,A,125000,Treatment,0,1,2,3,113216,120560,67525,75039,710,1150,1080,1410
2951,B,0,Predator_Free,0,1,2,3,1368,2621,1310,1595,0,0,0,0
2951,B,25000,Predator_Free,0,1,2,3,8318,6894,14413,12248,0,0,0,0
2951,B,50000,Predator_Free,0,1,2,3,37259,41080,51156,61696,0,0,0,0
2951,B,75000,Predator_Free,0,1,2,3,98561,86363,40047,62607,0,0,0,0
2951,B,100000,Predator_Free,0,1,2,3,107861,65285,88185,119409,0,0,0,0
2951,B,125000,Predator_Free,0,1,2,3,120839,68703,71893,154730,0,0,0,0
2951,B,0,Prey_Free,0,1,2,3,5527,3591,2223,20348,430,600,590,1160
2951,B,25000,Treatment,0,1,2,3,16695,16922,18345,43415,380,640,810,1160
2951,B,50000,Treatment,0,1,2,3,63816,40679,31162,52300,440,710,805,1030
2951,B,75000,Treatment,0,1,2,3,78347,52362,36690,47800,600,910,790,790
2951,B,100000,Treatment,0,1,2,3,101305,88366,45008,58577,580,760,1220,1380
2951,B,125000,Treatment,0,1,2,3,106491,105003,68313,57830,570,1150,1510,1780
2951,C,0,Predator_Free,0,1,2,3,2279,1424,855,3134,0,0,0,0
2951,C,25000,Predator_Free,0,1,2,3,13731,12932,9229,20166,0,0,0,0
2951,C,50000,Predator_Free,0,1,2,3,40563,67507,65114,74915,0,0,0,0
2951,C,75000,Predator_Free,0,1,2,3,77833,47806,39881,73835,0,0,0,0
2951,C,100000,Predator_Free,0,1,2,3,116134,79926,121571,152338,0,0,0,0
2951,C,125000,Predator_Free,0,1,2,3,139418,69673,83173,98671,0,0,0,0
2951,C,0,Prey_Free,0,1,2,3,6325,1938,2849,5243,510,1000,650,1280
2951,C,25000,Treatment,0,1,2,3,27578,9001,16009,34069,710,790,1250,500
2951,C,50000,Treatment,0,1,2,3,59996,19085,43185,77196,690,660,1080,1280
2951,C,75000,Treatment,0,1,2,3,173229,95095,120953,,670,790,1440,1210
2951,C,100000,Treatment,0,1,2,3,146262,65290,69163,88142,660,840,1060,1370
2951,C,125000,Treatment,0,1,2,3,133722,57944,88540,53782,700,790,1500,1550
1150,A,0,Predator_Free,0,1,2,3,855,1083,285,2953,0,0,0,0
1150,A,25000,Predator_Free,0,1,2,3,24556,35440,45633,68292,0,0,0,0
1150,A,50000,Predator_Free,0,1,2,3,33281,36808,45407,80783,0,0,0,0
1150,A,75000,Predator_Free,0,1,2,3,45924,38349,54579,89394,0,0,0,0
1150,A,100000,Predator_Free,0,1,2,3,58003,54193,71162,98714,0,0,0,0
1150,A,125000,Predator_Free,0,1,2,3,70937,56637,72410,104171,0,0,0,0
1150,A,0,Prey_Free,0,1,2,3,3077,2337,1824,9003,260,550,160,620
1150,A,25000,Treatment,0,1,2,3,26098,23020,32819,31916,220,610,730,750
1150,A,50000,Treatment,0,1,2,3,39088,30038,48486,50712,350,500,640,470
1150,A,75000,Treatment,0,1,2,3,46039,37495,47632,46367,370,1000,580,610
1150,A,100000,Treatment,0,1,2,3,65129,58063,79594,71637,470,770,720,620
1150,A,125000,Treatment,0,1,2,3,74872,58064,59766,62127,310,1460,370,860
1150,B,0,Predator_Free,0,1,2,3,1083,684,570,1903,0,0,0,0
1150,B,25000,Predator_Free,0,1,2,3,27063,29855,56985,76587,0,0,0,0
1150,B,50000,Predator_Free,0,1,2,3,36864,36123,46720,85358,0,0,0,0
1150,B,75000,Predator_Free,0,1,2,3,46670,37318,63693,74931,0,0,0,0
1150,B,100000,Predator_Free,0,1,2,3,67003,68085,87222,96888,0,0,0,0
1150,B,125000,Predator_Free,0,1,2,3,76573,72424,68651,94787,0,0,0,0
1150,B,0,Prey_Free,0,1,2,3,3248,2679,1539,6761,280,150,260,890
1150,B,25000,Treatment,0,1,2,3,31511,22793,25869,28715,380,290,250,680
1150,B,50000,Treatment,0,1,2,3,40286,32539,48088,51680,540,310,330,640
1150,B,75000,Treatment,0,1,2,3,50257,41938,42844,58269,370,330,625,860
1150,B,100000,Treatment,0,1,2,3,68778,50654,55612,48611,310,280,620,800
1150,B,125000,Treatment,0,1,2,3,76132,54812,61646,63660,370,590,890,780
1150,C,0,Predator_Free,0,1,2,3,912,918,741,1789,0,0,0,0
1150,C,25000,Predator_Free,0,1,2,3,24385,25412,46773,63769,0,0,0,0
1150,C,50000,Predator_Free,0,1,2,3,39488,33671,61758,97099,0,0,0,0
1150,C,75000,Predator_Free,0,1,2,3,60850,57769,80842,121318,0,0,0,0
1150,C,100000,Predator_Free,0,1,2,3,59429,46205,62325,84674,0,0,0,0
1150,C,125000,Predator_Free,0,1,2,3,71519,61716,103464,126504,0,0,0,0
1150,C,0,Prey_Free,0,1,2,3,3305,2508,1482,5567,550,410,640,720
1150,C,25000,Treatment,0,1,2,3,32308,24503,34528,37032,340,530,390,600
1150,C,50000,Treatment,0,1,2,3,37036,37264,59481,37052,400,370,270,660
1150,C,75000,Treatment,0,1,2,3,82734,70651,99417,93559,440,290,630,950
1150,C,100000,Treatment,0,1,2,3,62682,46325,54867,45998,460,350,750,880
1150,C,125000,Treatment,0,1,2,3,77266,52879,58968,56190,480,710,830,800
1393,A,0,Predator_Free,0,1,2,3,0,0,0,171,0,0,0,0
1393,A,25000,Predator_Free,0,1,2,3,17831,19198,30705,49618,0,0,0,0
1393,A,50000,Predator_Free,0,1,2,3,45804,39308,64317,86821,0,0,0,0
1393,A,75000,Predator_Free,0,1,2,3,57139,59075,86534,97017,0,0,0,0
1393,A,100000,Predator_Free,0,1,2,3,106818,113825,152044,170409,0,0,0,0
1393,A,125000,Predator_Free,0,1,2,3,133540,106759,152635,177228,0,0,0,0
1393,A,0,Prey_Free,0,1,2,3,684,11224,513,399,720,680,180,460
1393,A,25000,Treatment,0,1,2,3,14357,2222,1937,513,70,430,210,90
1393,A,50000,Treatment,0,1,2,3,32931,8375,6324,1937,2670,810,190,460
1393,A,75000,Treatment,0,1,2,3,50650,11282,9287,2222,2730,1080,200,1080
1393,A,100000,Treatment,0,1,2,3,85059,17947,15441,3817,930,1680,420,1780
1393,A,125000,Treatment,0,1,2,3,95375,19887,19031,5185,430,360,210,1240
1393,B,0,Predator_Free,0,1,2,3,342,114,1595,2165,0,0,0,0
1393,B,25000,Predator_Free,0,1,2,3,17262,20394,30477,32575,0,0,0,0
1393,B,50000,Predator_Free,0,1,2,3,31960,37144,42954,67792,0,0,0,0
